         37660 function calls (36990 primitive calls) in 0.029 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      181    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
        4    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
        4    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       41    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      202    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       41    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
    57/23    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
  385/362    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa43b40}
      101    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       41    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
      533    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     2569    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      347    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
       58    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
3244/3160    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        7    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
    125/3    0.000    0.000    0.028    0.009 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    82/20    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
     1941    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1867    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       41    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     58/1    0.000    0.000    0.028    0.028 <frozen importlib._bootstrap>:1349(_find_and_load)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1061    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       38    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      835    0.000    0.000    0.000    0.000 _parser.py:261(get)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1017    0.000    0.000    0.000    0.000 _parser.py:240(__next)
     58/2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap>:911(_load_unlocked)
       21    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      306    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
     58/1    0.000    0.000    0.028    0.028 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       45    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      631    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1148    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       21    0.000    0.000    0.003    0.000 __init__.py:280(_compile)
    44/20    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
      338    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      381    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1067    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     42/1    0.000    0.000    0.028    0.028 {built-in method builtins.exec}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    98/38    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
